Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YAA01,ARABIC,Oct-20,481,150,297,400,452,468,476,481
YAC11,ACCOUNTING,Oct-20,228,72,103,148,179,205,216,228
YBI01,BIOLOGY,Oct-20,128,2,17,46,94,115,125,128
YBI11,BIOLOGY,Oct-20,278,16,66,143,203,240,260,278
YBS01,BUSINESS STUDIES,Oct-20,19,0,2,7,8,13,16,19
YBS11,BUSINESS,Oct-20,167,1,11,37,83,126,154,167
YCH01,CHEMISTRY,Oct-20,183,4,23,56,101,153,172,183
YCH11,CHEMISTRY,Oct-20,458,45,133,234,321,385,416,458
YEC01,ECONOMICS,Oct-20,24,1,6,8,12,18,21,24
YEC11,ECONOMICS,Oct-20,204,9,73,123,169,190,196,204
YFM01,FURTHER MATHEMATICS,Oct-20,313,156,219,269,289,299,303,313
YIT11,INFORMATION TECHNOLOGY,Oct-20,13,4,6,7,10,12,12,13
YLA1,LAW,Oct-20,143,36,53,73,100,115,128,143
YMA01,MATHEMATICS,Oct-20,1727,468,942,1249,1460,1601,1666,1727
YPH01,PHYSICS,Oct-20,203,2,17,49,93,147,187,203
YPH11,PHYSICS,Oct-20,519,26,120,205,286,377,446,519
YPM01,PURE MATHEMATICS,Oct-20,30,7,19,21,27,29,29,30
YPS01,PSYCHOLOGY,Oct-20,23,6,7,14,17,22,23,23
XAA01,ARABIC,Oct-20,933,,774,896,925,930,932,933
XAC11,ACCOUNTING,Oct-20,418,,220,299,350,380,404,418
XBI11,BIOLOGY,Oct-20,1397,,466,783,1055,1228,1339,1397
XBS11,BUSINESS,Oct-20,491,,131,285,408,457,474,491
XCH11,CHEMISTRY,Oct-20,1707,,604,932,1192,1404,1540,1707
XEC11,ECONOMICS,Oct-20,503,,198,333,430,472,487,503
XFM01,FURTHER MATHEMATICS,Oct-20,290,,219,241,264,274,281,290
XHI01,HISTORY,Oct-20,10,,3,4,6,7,7,10
XIT11,INFORMATION TECHNOLOGY,Oct-20,25,,14,18,21,24,25,25
XMA01,MATHEMATICS,Oct-20,3588,,1539,2375,2929,3265,3439,3588
XPH11,PHYSICS,Oct-20,1457,,519,712,887,1046,1163,1457
XPM01,PURE MATHEMATICS,Oct-20,39,,22,28,32,33,34,39
XPS01,PSYCHOLOGY,Oct-20,65,,21,28,42,55,64,65
YAA01,ARABIC,Oct-21,433,174,310,380,405,415,423,433
YAC11,ACCOUNTING,Oct-21,727,162,338,445,545,625,668,727
YBI11,BIOLOGY,Oct-21,1054,40,276,518,739,915,1004,1054
YBS11,BUSINESS,Oct-21,668,0,80,254,459,585,625,668
YCH11,CHEMISTRY,Oct-21,1323,89,369,593,845,1045,1201,1323
YEC11,ECONOMICS,Oct-21,660,79,246,427,548,617,637,660
YFM01,FURTHER MATHEMATICS,Oct-21,295,139,195,247,270,282,285,295
YIT11,INFORMATION TECHNOLOGY,Oct-21,19,7,8,12,16,17,18,19
YMA01,MATHEMATICS,Oct-21,2536,401,1186,1693,2038,2276,2398,2536
YPH11,PHYSICS,Oct-21,1358,101,359,527,730,904,1061,1358
YPM01,PURE MATHEMATICS,Oct-21,22,1,8,13,19,20,21,22
XAA01,ARABIC,Oct-21,488,,368,450,476,484,486,488
